Horodateur,1.	Répondez-vous en tant que ,Nom de votre institution,2.	Avez-vous une politique écrite pour votre service sur la question des permaliens ou des identifiants ? ,3.	Avez-vous un budget spécifique identifié pour les permaliens et les identifiants pérennes ? ,"4.	Avez-vous des ressources non financières (personnes, projets, axes stratégiques, « priorités » de service) identifiées pour les permaliens et les identifiants pérennes ? ","5.	Aujourd’hui, les nouvelles ressources numériques que votre institution met à disposition des publics internes ou externes (numérisations, ouvrages, inventaires) reçoivent-elles systématiquement des ARKs ?","6.	La différence entre « permalien » et « identifiant pérenne » est-elle bien maîtrisée dans votre institution ? Par exemple sait-on l’expliquer à un lecteur en salle de lecture, ou à un usager des ressources numériques à distance ?",7.	Savez-vous ce qu’est un « résolveur » d’identifiants pérennes ?,8.	Quels sont les niveaux de description ou d’accès aux ressources numériques qui disposent d’ARKs dans votre institution ,"9.	A combien estimez-vous le nombre d’ARKs générés par an pour identifier vos ressources ? (500, 5000, 50 000…) ","10.	Combien d’ARKs supplémentaires seront-ils selon vous nécessaires pour identifier vos ressources d’ici les cinq prochaines années ? (100 000, 1M, 10 M…)",11.	Résolution des permaliens ARK : disposez vous :,Adresse de votre résolveur local,"12.	Informez-vous vos publics des principes et du fonctionnement de vos ARKs (ex : fiche, formations, ateliers, avertissements particulier) ? ",13.	Vos publics sont-ils satisfaits de votre système de permaliens ou identifiants pérennes ? ,"14.	Procédez-vous vous-même à la génération et à la maintenance de vos ARKs ou recourez-vous aux services d’un prestataire extérieur (EZID, NOID, ArchiSpace …) ? ",Nom du prestataire éventuel,"15.	Les « noms ARK » (série de caractères suivant le NAAN) générés répondent-ils aux recommandations de pérennisation ? [Sont-ils suivis de qualificatifs tiers (composantes, variantes…) ?]","15.	Les « noms ARK » (série de caractères suivant le NAAN) générés répondent-ils aux recommandations de pérennisation ? [Parmi ces qualificatifs, y-a-t-il une indication de pagination ?]",16.	A quel niveau dans la chaine de réalisation d’un projet décidez-vous de la création d’un ARK ou d'un ensemble d'ARKs pour des ressources  numériques ?,17.	Disposez-vous d’une page ‘.policy’ explicative de la méthodologie et de votre engagement vis-à-vis de la maintenance de vos ARKs ?,18.	Vos ARKs disposent-ils de métadonnées  ?,19.	Utilisez-vous des inflexions (ex : ‘ ?info’) pour caractériser une ressource ?,"20.	 Existe-t-il une redirection automatique de vos URLs incluant des ARKs (par exemple en cas de fusion de deux notices, de renumérisation d'une ressource existante, de passage du protocole 'http' à 'https', de changement de nom/site web de l’institution...) ?","21.	Si vous avez déployé un résolveur local, assurez-vous la maintenance de vos tables de correspondance URLs-ARKs ou avez-vous recours au service d’un prestataire extérieur ? Si oui lequel ?",Nom du prestataire,22.	Quels seraient selon-vous les points à améliorer pour rendre plus performante l'utilisation de vos ARKs dans votre institution ? 
2021/06/23 8:27:59 AM UTC+2,service des ressources documentaires d'un centre culturel,Anonyme,Non,Non,Non,Oui,Non,"Non, pas vraiment ou pas encore","Objet disposant d’une cote/notice autonome (registre, carton feuille ou image)",300,1500,d’un résolveur global (ex : http://n2t.net) ?,,Non,"Oui, complètement",Nous recourons aux services d'un prestataire,PMB côté Bibliothèque;  1egal2 côté archives,Je ne sais pas,Je ne sais pas,automatique,Non,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,,je ne sais pas
2021/06/23 2:03:58 PM UTC+2,Un service d’Archives départementales,Anonyme,Non,Non,Non,Non,Non,"Non, pas vraiment ou pas encore",Les AD30 disposent d'un NAAN mais n'utilisent pas encore d'ARKs pour leurs inventaires et leurs ressources en ligne,Pour l'instant aucun.,Pas d'estimation possible à donner.,d’un résolveur global (ex : http://n2t.net) ?,,Non,"Oui, complètement",Nous procédons nous-même à la génération et à la maintenance de nos ARKs,,Je ne sais pas,Je ne sais pas,Aucun ARK n'a encore été créé aux Archives départementales du Gard.,Non,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,,"Le logiciel métier utilisé pour l'informatisation des instruments de recherche ne permettant pas facilement de générer des identifiants ARK, nos ressources n'en sont pour l'instant pas dotées (la partie gestion comme la partie diffusion du SIA est gérée avec les produits de la société Anaphore : Arkhéïa et Bach). Le service effectue pour l'instant un travail de veille à ce sujet, compte-tenu des importantes opérations de numérisations en cours."
2021/06/23 4:06:58 PM UTC+2,Médiathèque d'établissement EPIC,Anonyme,Oui,Non,Oui,Non,Cela dépend vraiment des personnes,"Non, pas vraiment ou pas encore","Collections, fonds ou ensembles",40000,1M,d’un résolveur global (ex : http://n2t.net) ?,,Non,"Oui, mais des évolutions sont demandées",Nous recourons aux services d'un prestataire,AJLSM,Oui,Non,A la publication des instruments de recherche,Non,Non,Non,Non,Je ne sais pas,,Généraliser leur utilisation à toutes nos applications documentaires
2021/06/23 4:44:21 PM UTC+2,Un service d’Archives municipales,Anonyme,Non,Non,Non,Je ne sais pas,Non,"Non, pas vraiment ou pas encore","Objet disposant d’une cote/notice autonome (registre, carton feuille ou image)",5000,30000,d’un résolveur global (ex : http://n2t.net) ?,,Non,"Oui, complètement",Nous recourons aux services d'un prestataire,Ligéo (Empreinte Digitale),Je ne sais pas,Je ne sais pas,"je ne sais pas, le logiciel génère un ark dès la création d'une notice",Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,,"une formation de l'archiviste aux ark (définition, utilité, usage ...)"
2021/06/24 10:51:46 PM UTC+2,Un service d’Archives départementales,Anonyme,Non,Non,Non,Oui,Non,"Non, pas vraiment ou pas encore","Objet disposant d’une cote/notice autonome (registre, carton feuille ou image)",50000,200000,d’un résolveur local ? Quel est-il ?,?,Non,"Oui, complètement",Nous recourons aux services d'un prestataire,Empreinte digitale (Ligeo),Je ne sais pas,Je ne sais pas,Dès la mise en ligne sur le site Internet,Non,Je ne sais pas,Non,Oui,Je ne sais pas,,Formation pour une meilleure compréhension et diffusion des enjeux 
2021/06/25 4:06:19 PM UTC+2,Un service d’Archives départementales,Anonyme,Non,Non,Non,Oui,Cela dépend vraiment des personnes,"Non, pas vraiment ou pas encore","Objet disposant d’une cote/notice autonome (registre, carton feuille ou image)","5,3 millions",500000,d’un résolveur global (ex : http://n2t.net) ?,www.archinoe.fr,Non,"Oui, complètement",Nous procédons nous-même à la génération et à la maintenance de nos ARKs,,Je ne sais pas,Je ne sais pas,Au moment de la mise en ligne,Non,Je ne sais pas,Je ne sais pas,Je ne sais pas,Nous recourons aux services d'un prestataire extérieur,Archimaine,Être moins lié à un prestataire du secteur privé
2021/06/28 12:55:58 PM UTC+2,Un service d’Archives départementales,Anonyme,Non,Non,Non,Oui,La question se pose différemment,"Oui, je connais ces annuaires permettant de rediriger l’utilisateur vers la ressource appropriée","Objet disposant d’une cote/notice autonome (registre, carton feuille ou image)",10000,1M,d’un résolveur global (ex : http://n2t.net) ?,,Non,"Oui, mais des évolutions sont demandées",Nous recourons aux services d'un prestataire,Naoned,Je ne sais pas,Non,Généré automatiquement lors de la publication sur internet,Non,Je ne sais pas,Non,Je ne sais pas,Je ne sais pas,,Information publique
2021/06/28 6:51:15 PM UTC+2,Un musée,Anonyme,Non,Non,Non,Non,Cela dépend vraiment des personnes,"Non, pas vraiment ou pas encore","Objet disposant d’une cote/notice autonome (registre, carton feuille ou image)",500,100000,d’un résolveur global (ex : http://n2t.net) ?,,Oui,"Oui, complètement",Nous recourons aux services d'un prestataire,,Je ne sais pas,Oui,Lors du développement,Non,Je ne sais pas,Je ne sais pas,Non,Je ne sais pas,,Expliquer davantage leur fonctionnement
2021/06/29 3:24:50 PM UTC+2,Un service d’Archives départementales,Anonyme,Oui,Non,Oui,Oui,Cela dépend vraiment des personnes,"Oui, je connais ces annuaires permettant de rediriger l’utilisateur vers la ressource appropriée",ainsi que les instruments de recherche,estimation compliquée,estimation difficile,d’un résolveur global (ex : http://n2t.net) ?,,Non,"Oui, mais des évolutions sont demandées",Nous procédons nous-même à la génération et à la maintenance de nos ARKs,,Oui,Non,dès la création,Non,Oui,Je ne sais pas,Oui,Je ne sais pas,,"Meilleure connaissance en interne et par le public. Nous gérons les arks par l'intermédiaire de notre prestataire SIA, chaque nouvelle notice est arkée."
2021/07/06 6:15:54 PM UTC+2,Un autre service d’Archives,Anonyme,Non,Non,Oui,Non,Cela dépend vraiment des personnes,"Oui, je connais ces annuaires permettant de rediriger l’utilisateur vers la ressource appropriée",Expérimentation au niveau objet prototype ADAMANY,Niveau expérimental non quantifiable ,Ne peut pas répondre ,d’un résolveur local ? Quel est-il ?,Question obligatoire mais pas de resolveur,Non,"Oui, mais des évolutions sont demandées",Nous procédons nous-même à la génération et à la maintenance de nos ARKs,,Je ne sais pas,Je ne sais pas,Aucun question prématurée ,Non,Non,Non,Non,Je ne sais pas,,Nous avons besoin de définir notre stratégie de déploiement des ARKs dans nos environnements. Nos réponses sont donc liées au fait que nous n'en sommes qu'au stade de l'expérimentation. 
