Horodateur,1.	Répondez-vous en tant que ,Nom de votre institution,2.	Avez-vous une politique écrite pour votre service sur la question des permaliens ou des identifiants ? ,3.	Avez-vous un budget spécifique identifié pour les permaliens et les identifiants pérennes ? ,"4.	Avez-vous des ressources non financières (personnes, projets, axes stratégiques, « priorités » de service) identifiées pour les permaliens et les identifiants pérennes ? ","5.	Aujourd’hui, les nouvelles ressources numériques que votre institution met à disposition des publics internes ou externes (numérisations, ouvrages, inventaires) reçoivent-elles systématiquement des ARKs ?","6.	La différence entre « permalien » et « identifiant pérenne » est-elle bien maîtrisée dans votre institution ? Par exemple sait-on l’expliquer à un lecteur en salle de lecture, ou à un usager des ressources numériques à distance ?",7.	Savez-vous ce qu’est un « résolveur » d’identifiants pérennes ?,8.	Quels sont les niveaux de description ou d’accès aux ressources numériques qui disposent d’ARKs dans votre institution ,"9.	A combien estimez-vous le nombre d’ARKs générés par an pour identifier vos ressources ? (500, 5000, 50 000…) ","10.	Combien d’ARKs supplémentaires seront-ils selon vous nécessaires pour identifier vos ressources d’ici les cinq prochaines années ? (100 000, 1M, 10 M…)",11.	Résolution des permaliens ARK : disposez vous :,Adresse de votre résolveur local,"12.	Informez-vous vos publics des principes et du fonctionnement de vos ARKs (ex : fiche, formations, ateliers, avertissements particulier) ? ",13.	Vos publics sont-ils satisfaits de votre système de permaliens ou identifiants pérennes ? ,"14.	Procédez-vous vous-même à la génération et à la maintenance de vos ARKs ou recourez-vous aux services d’un prestataire extérieur (EZID, NOID, ArchiSpace …) ? ",Nom du prestataire éventuel,"15.	Les « noms ARK » (série de caractères suivant le NAAN) générés répondent-ils aux recommandations de pérennisation ? [Sont-ils suivis de qualificatifs tiers (composantes, variantes…) ?]","15.	Les « noms ARK » (série de caractères suivant le NAAN) générés répondent-ils aux recommandations de pérennisation ? [Parmi ces qualificatifs, y-a-t-il une indication de pagination ?]",16.	A quel niveau dans la chaine de réalisation d’un projet décidez-vous de la création d’un ARK ou d'un ensemble d'ARKs pour des ressources  numériques ?,17.	Disposez-vous d’une page ‘.policy’ explicative de la méthodologie et de votre engagement vis-à-vis de la maintenance de vos ARKs ?,18.	Vos ARKs disposent-ils de métadonnées  ?,19.	Utilisez-vous des inflexions (ex : ‘ ?info’) pour caractériser une ressource ?,"20.	 Existe-t-il une redirection automatique de vos URLs incluant des ARKs (par exemple en cas de fusion de deux notices, de renumérisation d'une ressource existante, de passage du protocole 'http' à 'https', de changement de nom/site web de l’institution...) ?","21.	Si vous avez déployé un résolveur local, assurez-vous la maintenance de vos tables de correspondance URLs-ARKs ou avez-vous recours au service d’un prestataire extérieur ? Si oui lequel ?",Nom du prestataire,22.	Quels seraient selon-vous les points à améliorer pour rendre plus performante l'utilisation de vos ARKs dans votre institution ? 
2021/05/31 11:57:31 AM UTC+2,Musée,Anonyme,Non,Non,Non,Non,Cela dépend vraiment des personnes,"Oui, je connais ces annuaires permettant de rediriger l’utilisateur vers la ressource appropriée","Objet disposant d’une cote/notice autonome (registre, carton feuille ou image)",Nous n'avons généré des ARK que pour les notices d'oeuvres de collections.louvre.fr ; actuellement il en existe environ 483 000.,"Si nous n'élargissons pas la politique d'attribution des ARK, nous aurons encore besoin d'environ 100 000 ARKs supplémentaires.",d’un résolveur global (ex : http://n2t.net) ?,,Non,"Oui, complètement",Nous procédons nous-même à la génération et à la maintenance de nos ARKs,,Non,Non,Nous avons décidé d'implémenter les ARKs sur les notices en ligne de Collections.louvre.fr dès le départ du projet. Pour l'instant il n'y a pas de projet d'attribuer des ARKs à d'autres types de contenus.,Non,Non,Non,Non,Je ne sais pas,,rédiger une politique d'attribution des ARKS ; mettre en place une gouvernance ; 
2021/05/31 1:11:42 PM UTC+2,Un service d’Archives municipales,Anonyme,Non,Non,Non,Oui,Non,"Non, pas vraiment ou pas encore",Objet disposant d'une cote / notice autonome mais aussi ressources numérisées rattachées à cette notice,Plusieurs milliers mais variable selon le nombre et le volume des inventaires mis en ligne et les campagnes de numérisation,Je ne sais pas. Probablement plusieurs dizaines de milliers,d’un résolveur local ? Quel est-il ?,"Je ne sais pas. Nous avons mis en place les liens Ark avec notre prestataire, Naoned, pour que le portail FranceArchives puisse renvoyer les internautes vers les notices sur notre portail",Non,"Oui, complètement",Nous recourons aux services d'un prestataire,Les liens Ark sont produits automatiquement sur notre portail Mnesys (Naoned),Je ne sais pas,Je ne sais pas,Les liens Ark sont créés systématiquement lors de la publication d'un inventaire ou de ressources numérisées,Non,Non,Non,Je ne sais pas,Je ne sais pas,,Nous avons une utilisation très minimale des ARK. Nous les avons mis en place pour permettre au portail FranceArchives de rediriger les internautes vers les notices des inventaires. Je ne sais pas exactement quels autres bénéfices nous pourrions tirer de leur utilisation.
2021/05/31 1:12:02 PM UTC+2,Programme spécifique (au sein d'une médiathèque),Anonyme,Non,Non,Non,Oui,Non,"Oui, je connais ces annuaires permettant de rediriger l’utilisateur vers la ressource appropriée","Objet disposant d’une cote/notice autonome (registre, carton feuille ou image)",500 en 2021,2000,d’un résolveur global (ex : http://n2t.net) ?,,Non,"Oui, complètement",Nous procédons nous-même à la génération et à la maintenance de nos ARKs,,Oui,Oui,A la source. C'est prévu par le système de gestion et de mise en ligne de la bibliothèque numérique.,Non,Non,Je ne sais pas,Je ne sais pas,Nous recourons aux services d'un prestataire extérieur,,"Plus de formation sur le sujet, voir les possibilités chez notre prestataire (Bibliomondo)"
2021/05/31 1:19:40 PM UTC+2,Éditeur,Anonyme,Non,Non,Non,Oui,Non,"Non, pas vraiment ou pas encore","Collections, fonds ou ensembles",3,10,d’un résolveur global (ex : http://n2t.net) ?,,Non,"Oui, complètement",Nous procédons nous-même à la génération et à la maintenance de nos ARKs,,Je ne sais pas,Je ne sais pas,Début,Non,Non,Non,Oui,Nous assurons la maintenance de nos tables de correspondance,,Comprendre mieux les possibilités d'ARK
2021/05/31 1:32:38 PM UTC+2,Une médiathèque (ou un réseau) municipale ou d’agglomération,Anonyme,Non,Non,Non,Oui,Non,"Oui, je connais ces annuaires permettant de rediriger l’utilisateur vers la ressource appropriée","Collections, fonds ou ensembles",25000,150000,d’un résolveur local ? Quel est-il ?,https://catalogue.bm-grenoble.fr/ark:/66349/pf,Non,"Oui, complètement",Nous procédons nous-même à la génération et à la maintenance de nos ARKs,,Oui,Oui,lors de la configuration initiale du projet,Non,Non,Non,Oui,Nous recourons aux services d'un prestataire extérieur,Bibliomondo,Meilleure information et formation des professionnels
2021/05/31 1:53:43 PM UTC+2,Une médiathèque (ou un réseau) municipale ou d’agglomération,Anonyme,Non,Non,Oui,Uniquement les ressources numériques patrimoniales,Cela dépend vraiment des personnes,"Non, pas vraiment ou pas encore","Objet disposant d’une cote/notice autonome (registre, carton feuille ou image)",100,5000,d’un résolveur local ? Quel est-il ?,,Non,"Oui, complètement",Nous procédons nous-même à la génération et à la maintenance de nos ARKs,,Je ne sais pas,Je ne sais pas,A chaque mise en ligne de nouvelle ressource,Non,Je ne sais pas,Non,Non,Je ne sais pas,,Une fomration plus poussée sur les ARK
2021/05/31 1:54:44 PM UTC+2,Etablissement public de coopération culturelle / Réseau de musées,Anonyme,Non,Non,Non,Non,Cela dépend vraiment des personnes,"Non, pas vraiment ou pas encore","Collections, fonds ou ensembles",Difficile à dire. Il s'agit des notices d'oeuvres muséales mises en ligne par les musées membres du Réseau des musées de Normandie. Les collections qui disposent d'ARK en ligne ne sont donc pas la propriété de l'établissement,"Idem, c'est au compte-goutte en fonction de la mise en ligne de notices par les musées de la région normande",d’un résolveur global (ex : http://n2t.net) ?,qu'est-ce qu'un resolveur ?,Non,"Oui, complètement",Nous procédons nous-même à la génération et à la maintenance de nos ARKs,Les arks sont générées automatiquement lors de la mise en ligne de ressources par les musées,Oui,Non,Le site Collections collections.musees-normandie.fr du Réseau des musées de Normandie est la seule ressource en ligne éditée par notre EPCC qui a mis en place actuellement des ARKs,Non,Je ne sais pas,Non,Je ne sais pas,Je ne sais pas,,Une formation à l'adresse du plus grand nombre
2021/05/31 2:07:25 PM UTC+2,Enseignant-chercheur,Anonyme,Non,Non,Non,Non,Non,"Oui, je connais ces annuaires permettant de rediriger l’utilisateur vers la ressource appropriée","Collections, fonds ou ensembles",500,1M,d’un résolveur local ? Quel est-il ?,,Non,"Oui, mais des évolutions sont demandées",Nous procédons nous-même à la génération et à la maintenance de nos ARKs,,Oui,Non,Après la publication,Non,Non,Non,Je ne sais pas,Nous assurons la maintenance de nos tables de correspondance,,Un ARK devrait être combiné avec un identifiant opaque et un identifiant non opaque caractérisé par des métadonnées. 
2021/05/31 2:25:29 PM UTC+2,Une médiathèque (ou un réseau) municipale ou d’agglomération,Anonyme,Non,Non,Non,Non,Cela dépend vraiment des personnes,"Oui, je connais ces annuaires permettant de rediriger l’utilisateur vers la ressource appropriée",Pas d'ARK mis en place à ce jour,0,150 000/200 000,d’un résolveur local ? Quel est-il ?,AUCUN,Non,"Non, un changement radical est demandé",Nous recourons aux services d'un prestataire,,Je ne sais pas,Je ne sais pas,A un niveau avancé du projet : nous disposons de ressources en ligne et nous n'avons pas encore étudier la question de la création d'ARK.,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,,Pas de réponse possible. 
2021/05/31 3:05:10 PM UTC+2,Un service d’Archives départementales,Anonyme,Non,Non,Non,Oui,Cela dépend vraiment des personnes,"Oui, je connais ces annuaires permettant de rediriger l’utilisateur vers la ressource appropriée",tout niveau de description de chaque inventaire,217776,100000,d’un résolveur global (ex : http://n2t.net) ?,,Non,"Oui, complètement",Nous recourons aux services d'un prestataire,naoned,Oui,Oui,origine,Non,Je ne sais pas,Je ne sais pas,Oui,Nous recourons aux services d'un prestataire extérieur,naoned,nsp
2021/05/31 4:03:33 PM UTC+2,Site internet,Anonyme,Non,Non,Non,Je ne sais pas,Non,"Non, pas vraiment ou pas encore",Page d’accueil ,50000,1000000,d’un résolveur local ? Quel est-il ?,Je ne sais de quoi vous parlez ,Non,"Oui, complètement",Nous procédons nous-même à la génération et à la maintenance de nos ARKs,,Je ne sais pas,Je ne sais pas,Aucune idée ,Non,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,,Aucune odee
2021/05/31 4:15:58 PM UTC+2,ministère,Anonyme,Non,Non,Non,Oui,Cela dépend vraiment des personnes,"Non, pas vraiment ou pas encore","Folio, feuille ou illustration dans un ensemble documentaire (la notice étant au niveau de l’ensemble)",200000,1 M,d’un résolveur global (ex : http://n2t.net) ?,,Non,"Oui, complètement",Nous recourons aux services d'un prestataire,profils 1egal2,Oui,Oui,création systématique dés la mise en ligne d'un fonds avec images,Non,Je ne sais pas,Je ne sais pas,Oui,Nous recourons aux services d'un prestataire extérieur,profils 1egal2,RAS
2021/06/01 8:31:31 AM UTC+2,Un service d’Archives départementales,Anonyme,Non,Non,Non,Oui,Cela dépend vraiment des personnes,"Non, pas vraiment ou pas encore","Objet disposant d’une cote/notice autonome (registre, carton feuille ou image)",3000,100000,d’un résolveur global (ex : http://n2t.net) ?,,Non,"Oui, complètement",Nous recourons aux services d'un prestataire,Société 1=2,Je ne sais pas,Je ne sais pas,  ,Non,Non,Oui,Oui,Je ne sais pas,,  
2021/06/01 9:15:52 AM UTC+2,Un service d’Archives municipales,Anonyme,Non,Non,Non,Je ne sais pas,Non,"Non, pas vraiment ou pas encore","Objet disposant d’une cote/notice autonome (registre, carton feuille ou image)",je ne sais pas,je ne sais pas,d’un résolveur local ? Quel est-il ?,non,Non,"Non, un changement radical est demandé",Nous procédons nous-même à la génération et à la maintenance de nos ARKs,,Je ne sais pas,Je ne sais pas,ras,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,,je ne sais pas
2021/06/01 9:33:15 AM UTC+2,Un service d’Archives municipales,Anonyme,Non,Non,Oui,Non,Cela dépend vraiment des personnes,"Non, pas vraiment ou pas encore","Objet disposant d’une cote/notice autonome (registre, carton feuille ou image)",0,0,d’un résolveur local ? Quel est-il ?,,Non,"Oui, complètement",Nous recourons aux services d'un prestataire,Bibliothèques de Nancy,Non,Non,Selon les nécessités techniques de la plateforme de publication : Limédia galerie,Non,Je ne sais pas,Non,Je ne sais pas,Je ne sais pas,,"Formation des archivistes, mise à jour du logiciel de diffusion des archives (qui ne propose par ARK !)."
2021/06/01 9:58:30 AM UTC+2,musée,Anonyme,Non,Non,Oui,Oui,Non,"Non, pas vraiment ou pas encore","Collections, fonds ou ensembles",20 000 en première phase puis en fonction des acquisitions,1000,d’un résolveur global (ex : http://n2t.net) ?,,Non,"Oui, mais des évolutions sont demandées",Nous procédons nous-même à la génération et à la maintenance de nos ARKs,,Je ne sais pas,Non,publication en ligne,Non,Je ne sais pas,Non,Non,Nous recourons aux services d'un prestataire extérieur,Decalog,on ne sait pas
2021/06/01 11:11:08 AM UTC+2,Un service d’Archives départementales,Anonyme,Non,Non,Oui,Oui,Cela dépend vraiment des personnes,"Oui, je connais ces annuaires permettant de rediriger l’utilisateur vers la ressource appropriée",Instruments de recherche ou équivalent,des milliers pour l'accès aux images numérisées sur le site web.,Cela dépend de notre politique de numérisation et de la mise en ligne des fonds.,d’un résolveur global (ex : http://n2t.net) ?,,Non,"Oui, complètement",Nous recourons aux services d'un prestataire,,Oui,Oui,Pour la mise en ligne,Non,Je ne sais pas,Non,Je ne sais pas,Je ne sais pas,,Les liens Ark sont générés par la console d'administration de notre site web Ligeo Diffusion de la société Empreinte Digitale à partir de notre NAAN.
2021/06/01 1:28:42 PM UTC+2,Ministère éducation nationale,Anonyme,Oui,Non,Oui,Oui,Oui,"Oui, je connais ces annuaires permettant de rediriger l’utilisateur vers la ressource appropriée","Objet disposant d’une cote/notice autonome (registre, carton feuille ou image)",2000,Etre 10 et 20000,d’un résolveur local ? Quel est-il ?,Usage réparti sur une centaine de partenaires industriels,Oui,"Oui, complètement",Nous procédons nous-même à la génération et à la maintenance de nos ARKs,,Oui,Non,"C’est le système utilisé vaec les industriels partenaires dès le début du projet, comme base de mutualisation",Non,Oui,Non,Non,Nous assurons la maintenance de nos tables de correspondance,,"Le fonctionnement est satisfaisant pour le cadre de projet actuel. L’évolution envisagée est d’étendre l’identification à ds éléments granulaires, en utilisant les variantes prévues dans la syntaxe"
2021/06/01 1:45:55 PM UTC+2,Une médiathèque (ou un réseau) municipale ou d’agglomération,Anonyme,Non,Non,Oui,Non,Non,"Non, pas vraiment ou pas encore",2 cas de figure : a) notre SIGB (Syracuse) sera bientôt en capacité de générer des liens ARK pour les ressources numériques (actuellement simples permaliens) et de résoudre les ARK provenant des notices MARC de la BnF (moissonnage de notices) / b) les ARK seront implémentés sur le site OMEKA en cours pour le projet Horae Pictavenses (Biblissima/IRHT/Poitiers : https://horae-pictavenses.fr/s/hp/page/accueil) ,"5000 pour la bibliothèque numérique du SIGB, 10000 pour le projet Horae Pictavenses",100000  (en étant très large) ,d’un résolveur local ? Quel est-il ?,Aucune idée : il faudrait interroger la société Archimed,Non,"Non, un changement radical est demandé",Nous recourons aux services d'un prestataire,Non encore implémenté,Non,Non,"Simple volonté théorique pour l'instant, sans implémentation",Non,Je ne sais pas,Non,Je ne sais pas,Je ne sais pas,Archimed (Syracuse),Difficile de répondre tout pendant que nous n'avons pas encore de première implémentation
2021/06/01 3:11:30 PM UTC+2,opérateur de l'Etat,Anonyme,Non,Non,Non,Nous n'avons pas mis de nouvelles ressources numériques pour l'instant mais si nous en mettons elles recevront systématiquement des ARKs,Cela dépend vraiment des personnes,"Non, pas vraiment ou pas encore","Objet disposant d’une cote/notice autonome (registre, carton feuille ou image)",212000,Inconnu à ce jour,d’un résolveur global (ex : http://n2t.net) ?,,Non,"Oui, complètement",Nous recourons aux services d'un prestataire,Mnesys,Je ne sais pas,Non,En cours de projet,Non,Je ne sais pas,Je ne sais pas,Non,Nous recourons aux services d'un prestataire extérieur,Mnesys, 
2021/06/01 3:38:59 PM UTC+2,Une médiathèque (ou un réseau) municipale ou d’agglomération,Anonyme,Non,Non,Non,Oui,Cela dépend vraiment des personnes,"Non, pas vraiment ou pas encore","Objet disposant d’une cote/notice autonome (registre, carton feuille ou image)",1000,100000,d’un résolveur global (ex : http://n2t.net) ?,,Non,"Oui, mais des évolutions sont demandées",Nous procédons nous-même à la génération et à la maintenance de nos ARKs,,Oui,Je ne sais pas,catalogage d'une notice,Non,Non,Non,Non,Je ne sais pas,,Améliorer la connaissance et la maintenance des ARKS
2021/06/01 4:20:24 PM UTC+2,Un service d’Archives départementales,Anonyme,Non,Non,Oui,Oui,Cela dépend vraiment des personnes,"Oui, je connais ces annuaires permettant de rediriger l’utilisateur vers la ressource appropriée","Folio, feuille ou illustration dans un ensemble documentaire (la notice étant au niveau de l’ensemble)","Actuellement, équivalent aux images mises en lignes, ceci est très variable d'une année à l'autre.","Plus de 1M minimum car dans notre prochaine version de site, nos IR en XML-EAD seront mis en ligne, avec un identifiant à chaque <c>",d’un résolveur local ? Quel est-il ?,https://archives.cd08.fr/ark:/75583/,Non,"Oui, complètement",Nous recourons aux services d'un prestataire,Solution Arkothèque de 1égal2,Oui,Non,"Jusqu'à ce jour, seules les images en lignes sont identifiées, ceci ayant été décidé lors de la dernière migration majeur de notre portail web en 2014.",Je ne sais pas,Non,Non,Non,Nous recourons aux services d'un prestataire extérieur,Solution Arkothèque de 1égal2,.
2021/06/01 4:23:19 PM UTC+2,Un service d’Archives départementales,Anonyme,Non,Non,Non,Oui,Cela dépend vraiment des personnes,"Non, pas vraiment ou pas encore","Objet disposant d’une cote/notice autonome (registre, carton feuille ou image)",pas d'éléments de réponse. Actuellement 693990 générés.,pas d'idées,d’un résolveur global (ex : http://n2t.net) ?,,Non,"Oui, mais des évolutions sont demandées",Nous recourons aux services d'un prestataire,AJLSM,Non,Oui,Création des liens ARK automatique pour toutes ressources numériques visibles dans la visionneuse (accessibles depuis un instrument de recherche).,Non,Je ne sais pas,Non,Non,Nous recourons aux services d'un prestataire extérieur,AJLSM (précédemment Archimaine),Une autorité d'adressage pérenne. Permettre la mise à jour de lots d'images (suppressions ou rajouts d'i'mage) sans casser le lien ARK enregistré précédemment par les internautes.
2021/06/01 4:59:45 PM UTC+2,maison d'éditions de l'enseignement agricole public,Anonyme,Non,Non,Oui,Non,Non,"Oui, je connais ces annuaires permettant de rediriger l’utilisateur vers la ressource appropriée",ressources pédagogique numérique (notice sccolomfr),moins de 100,5000,d’un résolveur local ? Quel est-il ?,,Non,"Oui, complètement",Nous procédons nous-même à la génération et à la maintenance de nos ARKs,,Oui,Non,partenaire institutionel,Non,Non,Non,Non,Je ne sais pas,,"disposer d'un générateur automatique,utiliser l'ark pour permettre un accès granulaire aux contenus de nos ressources."
2021/06/01 6:41:41 PM UTC+2,Une médiathèque (ou un réseau) municipale ou d’agglomération,Anonyme,Non,Non,Non,Oui,Cela dépend vraiment des personnes,"Non, pas vraiment ou pas encore","Folio, feuille ou illustration dans un ensemble documentaire (la notice étant au niveau de l’ensemble)",Entre 40 000 et 50 000 en 2020,Entre 200 000 et  300 000,d’un résolveur local ? Quel est-il ?,nous n'en avons pas,Non,"Oui, complètement",Nous recourons aux services d'un prestataire,"Question gérée par NAONED, l'hébergeur de notre site patrimonial Commulysse.angers.fr",Non,Non,Cahier des charges de l'appel d'offre de notre site patrimonial,Non,Je ne sais pas,Non,Oui,Nous recourons aux services d'un prestataire extérieur,NAONED,Emploi des inflexions. Contacts avec une communauté Ark en France pour mieux développer la culture professionnel sur ce sujet
2021/06/02 10:34:55 AM UTC+2,Un service d’Archives départementales,Anonyme,Non,Non,Non,Oui,Non,"Non, pas vraiment ou pas encore","Objet disposant d’une cote/notice autonome (registre, carton feuille ou image)",40000,200000,d’un résolveur global (ex : http://n2t.net) ?,,Non,"Oui, complètement",Nous recourons aux services d'un prestataire,"société 1 = 2, Marseille",Non,Non,Lors de la création du site internet (CCTP),Non,Je ne sais pas,Je ne sais pas,Oui,Nous recourons aux services d'un prestataire extérieur,"Société 1 = 2 , Marseille",Une formation spécifique
2021/06/02 10:49:27 AM UTC+2,Un service d’Archives municipales,Anonyme,Non,Non,Oui,Oui,Cela dépend vraiment des personnes,"Non, pas vraiment ou pas encore","Objet disposant d’une cote/notice autonome (registre, carton feuille ou image)",5000,30000,d’un résolveur local ? Quel est-il ?,dans l'outil Ligéo,Non,"Oui, complètement",Nous procédons nous-même à la génération et à la maintenance de nos ARKs,,Oui,Oui,"par défaut, dès le début",Non,Je ne sais pas,Je ne sais pas,Non,Nous assurons la maintenance de nos tables de correspondance,,une formation :-)
2021/06/02 12:28:30 PM UTC+2,Un service d’Archives départementales,Anonyme,Non,Non,Non,Non,Cela dépend vraiment des personnes,"Oui, je connais ces annuaires permettant de rediriger l’utilisateur vers la ressource appropriée","Folio, feuille ou illustration dans un ensemble documentaire (la notice étant au niveau de l’ensemble)",100000,500000,d’un résolveur global (ex : http://n2t.net) ?,,Oui,"Oui, mais des évolutions sont demandées",Nous recourons aux services d'un prestataire,Naoned,Non,Non,Les Ark sont générés automatiquement par le système interne du site Internet uniquement,Non,Non,Non,Je ne sais pas,Je ne sais pas,,"Pouvoir avoir la maîtrise de la génération (actuellement uuid4, totalement aléatoire)"
2021/06/02 12:40:58 PM UTC+2,Un service d’Archives départementales,Anonyme,Non,Non,Non,Seulement les images mises en ligne sur notre site ,Cela dépend vraiment des personnes,"Non, pas vraiment ou pas encore","Folio, feuille ou illustration dans un ensemble documentaire (la notice étant au niveau de l’ensemble)",Quelques dizaines de milliers ,Entre 1 et 2 millions ,d’un résolveur global (ex : http://n2t.net) ?,,Oui,"Oui, mais des évolutions sont demandées",Nous recourons aux services d'un prestataire,Nous générons nous mêmes les liens par le biais de notre outil métier Thot (société SICEM) mais nous ne savons pas ou ne pouvons pas les maintenir ,Oui,Oui,Génération systématique pour images en ligne ,Non,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,,L'organisation interne de la collectivité de rattachement ne nous laisse pas la possibilité d'une organisation à la carte. Les moyens ne sont pas dans notre service. 
2021/06/02 2:23:20 PM UTC+2,Un autre service d’Archives,Anonyme,Oui,Oui,Oui,Oui,Cela dépend vraiment des personnes,"Oui, je connais ces annuaires permettant de rediriger l’utilisateur vers la ressource appropriée","Objet disposant d’une cote/notice autonome (registre, carton feuille ou image)",100 000+,1M,d’un résolveur local ? Quel est-il ?,Aucun résolveur disponible,Non,"Oui, mais des évolutions sont demandées",Nous procédons nous-même à la génération et à la maintenance de nos ARKs,,Non,Non,Au moment de la définition fonctionnelle des paquets lors de la mise en place du projet d'archivage électronique,Non,Non,Non,Non,Je ne sais pas,,Développement d'un résolveur interne (en projet)
2021/06/03 8:22:03 AM UTC+2,Musée et service archive d'une Métropole,Anonyme,Non,Non,Oui,Non,Non,"Oui, je connais ces annuaires permettant de rediriger l’utilisateur vers la ressource appropriée","Objet disposant d’une cote/notice autonome (registre, carton feuille ou image)",moins de 500,100,d’un résolveur global (ex : http://n2t.net) ?,,Non,"Oui, mais des évolutions sont demandées",Nous recourons aux services d'un prestataire,pour les archives : archives departementales,Je ne sais pas,Je ne sais pas,au demarrage,Non,Je ne sais pas,Je ne sais pas,Je ne sais pas,Je ne sais pas,,plus d'information
2021/06/03 10:04:55 AM UTC+2,Un service d’Archives départementales,Anonyme,Non,Non,Oui,Oui,Cela dépend vraiment des personnes,"Oui, je connais ces annuaires permettant de rediriger l’utilisateur vers la ressource appropriée","Folio, feuille ou illustration dans un ensemble documentaire (la notice étant au niveau de l’ensemble)",200000,1000000,d’un résolveur local ? Quel est-il ?,,Non,"Oui, complètement",Nous recourons aux services d'un prestataire,,Non,Non,Mise en ligne,Non,Non,Non,Non,Nous recourons aux services d'un prestataire extérieur,,Copie du lien par simple clic
2021/06/03 10:05:04 AM UTC+2,Un service d’Archives départementales,Anonyme,Oui,Non,Non,Oui,Non,"Non, pas vraiment ou pas encore","Du niveau général (instrument de recherche) au niveau fin (folio, image, notice...)",1M,5M,d’un résolveur local ? Quel est-il ?,Ce sont les prestataires qui se chargent de cet aspect : Naoned et Decalog,Non,"Oui, complètement",Nous recourons aux services d'un prestataire,Naoned (Mnesys) et Decalog (Flora Musées),Je ne sais pas,Non,C'est automatique pour chaque publication d'image ou de notice en ligne.,Non,Je ne sais pas,Non,Je ne sais pas,Nous recourons aux services d'un prestataire extérieur,Naoned (Mnesys) et Decalog (Flora Musées),Rien. Nous ne maîtrisons pas assez le sujet pour avoir des exigences autres que celles proposées par le prestataire. 
2021/06/03 10:59:34 AM UTC+2,Une médiathèque (ou un réseau) municipale ou d’agglomération,Anonyme,Non,Non,Non,"Oui, sauf ressources numériques moissonnées (exemples : Arte VOD, Cafeyn, Tout apprendre,  Retronews...)",Non,"Non, pas vraiment ou pas encore","Objet disposant d’une cote/notice autonome (registre, carton feuille ou image)",20000,150000,d’un résolveur local ? Quel est-il ?,"résolveur de Bibliomondo, non utilisé",Non,"Oui, complètement",Nous recourons aux services d'un prestataire,Documents numérisés : Identifiant généré automatiquement à chaque création de notice auquel l'opérateur ajoute le NAAN/Notice document physique : Ark généré automatiquement par Portfolio (Bibliomondo),Non,Non,A partir du moment où une ressource est mise en ligne (sauf ressource moissonnée à l'extérieur) elle fait l'objet d'un ARK.,Non,Non,Non,Je ne sais pas,Je ne sais pas,Bibliomondo,une meilleure formation des agents ; le dépôt des ARK du patrimoine avec un minima de métadonnées sur le serveur permettant un renvoi automatique en cas de ressource supprimée.
2021/06/03 2:56:41 PM UTC+2,bibliothèque interuniversitaire ,Anonyme,Non,Non,Non,"Oui, systématiquement sur la bibliothèque numérique, non sur les autres canaux (vidéos youtube, documents en ligne sur le site web, documents électroniques accessibles via notre outil de découverte)",Cela dépend vraiment des personnes,"Oui, je connais ces annuaires permettant de rediriger l’utilisateur vers la ressource appropriée","Les collections, fonds ou ensembles ET les objets disposant d'une cote/notice autonome",Entre 1000 et 3000,environ 15 000,d’un résolveur local ? Quel est-il ?,https://nubis.univ-paris1.fr/,Non,"Oui, complètement",Nous procédons nous-même à la génération et à la maintenance de nos ARKs,"Un plug-in Omeka génère l'ark au moment de la création de l'item, ce plug-in recourt à NOID.",Oui,Oui,Ils sont automatiques pour tout contenu relevant de la bibliothèque numérique.,Non,Oui,Non,Oui,Nous recourons aux services d'un prestataire extérieur,Sempiternelia,"Elles restent encore très peu connues des personnels et publics, il importerait de les expliquer et de les faire connaître. Nous pourrions également utiliser les inflexions possibles (.info, etc...)."
2021/06/03 2:59:51 PM UTC+2,Plateforme LCMS,Anonyme,Non,Oui,Non,"Pout un type de ressources spécifiques, des modules d'apprentissage OUI",Cela dépend vraiment des personnes,"Non, pas vraiment ou pas encore","Objet disposant d’une cote/notice autonome (registre, carton feuille ou image)",100000,500000,d’un résolveur local ? Quel est-il ?,https://edu.tactileo.fr/ark,Non,"Oui, mais des évolutions sont demandées",Nous procédons nous-même à la génération et à la maintenance de nos ARKs,,Oui,Je ne sais pas,Générée automatiquement lors de la création de ressources ou définie en cours de projet précis,Je ne sais pas,Non,Je ne sais pas,Non,Nous assurons la maintenance de nos tables de correspondance,,Amélioration notices SCOLOMfr
